ticker,Fundamental Rating
RRRP3,C
TTEN3,B
QVQP3,E
ABCB4,D
EALT4,A
AERI3,D
AESB3,C
AESO3,D
AFLT3,D
GRAO3,E
AGXY3,E
RPAD5,E
APTI4,E
FRRN3B,B
AALR3,D
ALLD3,C
ALOS3,C
ALPA4,D
APER3,C
AVLL3,D
ALUP11,C
BAZA3,C
ABEV3,B
AMBP3,C
AMER3,E
CBEE3,D
ANIM3,C
ARZZ3,B
ARML3,C
ASAI3,C
ATMP3,E
ATOM3,D
AURA33,C
AURE3,D
AZEV4,E
AZUL4,D
B3SA3,B
BAHI3,C
BMGB4,C
BPAN4,C
BGIP4,C
BEES3,C
BPAR3,C
BRSR6,C
BDLL4,E
BALM4,B
BBML3,E
BBSE3,C
BMOB3,C
BETP3,E
BMKS3,E
BIOM3,E
BLAU3,C
SOJA3,C
BOBR4,B
BRBI11,C
BBDC4,C
BRAP4,D
BBAS3,C
AGRO3,C
BRKM5,D
BSLI3,D
BRFS3,D
BRIT3,C
BRQB3,B
BPAC11,C
CABI3,E
CXSE3,B
CAMB3,A
CAML3,C
CRFB3,C
CASN3,C
BHIA3,C
CBAV3,E
CCRO3,C
CEAB3,B
CEBR3,C
CEDO4,C
CEED3,D
CGEE3,E
CEGR3,A
CLSC4,C
GPAR3,E
MAPT4,E
CMIG4,B
CIEL3,C
CMSA3,E
CLSA3,C
CEEB3,B
COCE5,C
COGN3,D
COMR3,D
CGAS5,B
PASS3,C
CRTE3,E
CALI3,C
CSMG3,A
CPLE6,C
CSAN3,D
CSRN3,B
CTNM4,D
CPFE3,B
CRPG5,D
CSED3,B
CMIN3,A
CSUD3,C
CTCA3,B
CURY3,A+
CVCB3,C
CYRE3,C
DMVF3,B
DASA3,D
DESK3,C
DXCO3,C
DEXP3,B+
PNVL3,B+
DIRR3,B+
DMFN3,E
DOHL4,C
DOTZ3,C
DTCY3,E
ECOR3,C+
EKTR4,B+
ELET3,D
ELMD3,C
LIPR3,E
EMAE4,D
EPAR3,C
EMBR3,C
ENAT3,D
ENBR3,C+
ENGI11,C+
ENMT3,B+
ENEV3,D
EGIE3,B+
ENJU3,D
EQMA3B,B
EQPA3,A
EQTL3,C+
ESPA3,C+
ALPK3,D
ESTR4,C
ETER3,C
EUCA4,B
EUFA3,B
EVEN3,C
BAUH4,C+
EZTC3,C
FHER3,E
FESA4,D
FIEI3,E
FLRY3,B
FRAS3,B+
G2DI33,E
GFSA3,E
OPGM3,E
GSHP3,D
GEPA4,D
GGBR4,C+
GOAU4,C+
NINJ3,C
GOLL4,C
GPIV33,E
GGPS3,A
EGGY3,E
CGRA4,C
GRND3,C+
GMAT3,B
NTCO3,B
SBFG3,C+
SOMA3,C
GUAR3,B
HBTS5,C
HAGA4,D
HAPV3,E
HBRE3,D
HBOR3,D
HETA4,C
HBSA3,D
HMOB3,E
HOOT4,C+
HYPE3,B
IGSN3,D
IGTI11,D
MEAL3,D
INNC3,C+
CATA3,C+
INEP3,E
IFCM3,E
INTB3,B+
IVPR3B,D
FIGE3,D
MYPK3,D
RANI3,B+
IRBR3,D
ITSA4,B
ITUB4,C
JALL3,C
JBSS3,D
JHSF3,D
JFEN3,E
JOPA3,C
JSLG3,C+
KLAS3,D
CTKA4,B
KEPL3,A
KLBN11,C+
KRSA3,D
LAVV3,B
LLBI3,C
LMED3,D
LIGT3,D
LTEL3B,E
LTLA3B,E
RENT3,C
LOGG3,C
LOGN3,C
AMAR3,D
LREN3,B
LPSB3,B
LUPA3,D
LWSA3,D
MDIA3,B
MSRO3,D
MGLU3,C+
MGEL4,C
POMO4,B+
MRFG3,C
MATD3,C
MSPA4,D
CASH3,E
MELK3,C
MNZC3,D
MERC4,D
BMIN4,C
BMEB4,C+
LEVE3,A
FRIO3,C
MTSA4,C+
MILS3,A+
MMAQ4,C+
BEEF3,B
MNPR3,C
MTRE3,C
MBLY3,D
MOAR3,D
MDNE3,B
MOVI3,C
MRSA3B,A
MRVE3,D
MLAS3,E
MULT3,B+
MNDL3,C+
NEOE3,B
NGRD3,D+
NEXP3,C+
BNBR3,C
NORD3,D
NRTQ3,C+
ROXO34,D
NUTR3,C+
OPCT3,C+
ODER4,C
ODPV3,A+
OIBR3,E
ONCO3,C+
ORVR3,D+
OSXB3,E
OFSA3,C
PCAR3,D
PDTC3,C
PGMN3,D
PATI3,D
PEAB4,D
PMAM3,E
PDGR3,E
RPMG3,E
PETR4,B+
RECV3,C
PRIO3,A+
PTNT4,C
PETZ3,C+
PINE4,C
PLPL3,A+
PLAS3,D
PPAR3,D
FRTA3,E
PSSA3,A
PTBL3,B
POSI3,A
PPLA11,E
PTCA3,A
PRNR3,C+
PFRM3,C
PRPT3,E
QUAL3,C
QUSW3,C+
LJQQ3,C
RADL3,A+
RAIZ4,D
RAPT4,C
RCSL3,D
RDOR3,C+
REDE3,B+
RNEW4,D
RSUL4,B
RDNI3,E
RBNS11,C+
ROMI3,B
RSID3,E
RAIL3,D+
SBSP3,C
SAEN3,D
SAPR11,B+
SNSY5,C
SANB11,C
CTSA4,D
STBP3,A+
SCAR3,C
SMTO3,C+
SHUL4,B
SEQL3,D
SEER3,C+
SRNA3,C
CSNA3,D
SIMH3,C
SLCE3,B
SMFT3,B
SOND6,B
SGPS3,E
AHEB3,C+
OPSE3,E
OPTS3,E
NEMO5,C
SUZB3,C
SYNE3,D
TAEE11,C+
TASA4,C
TRAD3,E
TECN3,B
TCSA3,E
TGMA3,A
TEGA3,C
TEKA4,E
TKNO4,C
TELB4,E
VIVT3,B
TEND3,D
LAND3,D
TXRX4,E
TIMS3,C+
SHOW3,C
TOTS3,A
TFCO4,A+
TRPL4,C+
LUXM4,B
TRIS3,C+
TPIS3,D
TUPY3,C+
UGPA3,B
UCAS3,C+
FIQE3,A
UNIP6,B
UPKP3,D
USIM5,D
VALE3,C
VLID3,B
VAMO3,B
VSTE3,C
VBBR3,C+
VITT3,B
VIVA3,B+
VVEO3,C+
VIVR3,E
VULC3,A
LVTC3,D+
WEGE3,A+
WEST3,E
MWET4,D
WHRL4,C
PORT3,A
WIZC3,B+
WLMM4,B
YBRA3,E
YDUQ3,C+
ZAMP3,C+
