"Ativo","Nome","Classe","Código","Subsetor Bovespa"
"BMKS3<XBSP>","Bic Monark","ON","BMKS3","Viagens e lazer"
"CVCB3<XBSP>","Cvc Brasil","ON","CVCB3","Viagens e lazer"
"ESTR4<XBSP>","Estrela","PN","ESTR4","Viagens e lazer"
"SMFT3<XBSP>","Smart Fit","ON","SMFT3","Viagens e lazer"
"AHEB3<XBSP>","SPturis","ON","AHEB3","Viagens e lazer"
"SHOW3<XBSP>","Time For Fun","ON","SHOW3","Viagens e lazer"
"HETA4<XBSP>","Hercules","PN","HETA4","Utilidades domésticas"
"UCAS3<XBSP>","Unicasa","ON","UCAS3","Utilidades domésticas"
"WHRL4<XBSP>","Whirlpool","PN","WHRL4","Utilidades domésticas"
"FRRN3B<XBSP>","All Norte","ON","FRRN3B","Transporte"
"AZUL4<XBSP>","Azul","PN","AZUL4","Transporte"
"CCRO3<XBSP>","CCR SA","ON","CCRO3","Transporte"
"CRTE3<XBSP>","Conc Rio Ter","ON","CRTE3","Transporte"
"ECOR3<XBSP>","Ecorodovias","ON","ECOR3","Transporte"
"GOLL4<XBSP>","Gol","PN","GOLL4","Transporte"
"HBSA3<XBSP>","Hidrovias","ON","HBSA3","Transporte"
"HMOB3<XBSP>","Hmobi S/A","ON","HMOB3","Transporte"
"IVPR3B<XBSP>","Invepar","ON","IVPR3B","Transporte"
"JSLG3<XBSP>","JSL","ON","JSLG3","Transporte"
"LOGN3<XBSP>","Log-In","ON","LOGN3","Transporte"
"MRSA3B<XBSP>","Mrs Logist","ON","MRSA3B","Transporte"
"RAIL3<XBSP>","Rumo S.A.","ON","RAIL3","Transporte"
"STBP3<XBSP>","Santos Brp","ON","STBP3","Transporte"
"TGMA3<XBSP>","Tegma","ON","TGMA3","Transporte"
"LUXM4<XBSP>","Trevisa","PN","LUXM4","Transporte"
"TPIS3<XBSP>","Triunfo Part","ON","TPIS3","Transporte"
"PORT3<XBSP>","Wilson Sons","ON","PORT3","Transporte"
"BRIT3<XBSP>","Brisanet","ON","BRIT3","Telecomunicações"
"DESK3<XBSP>","Desktopsigma","ON","DESK3","Telecomunicações"
"OIBR3<XBSP>","Oi","ON","OIBR3","Telecomunicações"
"TELB4<XBSP>","Telebras","PN","TELB4","Telecomunicações"
"VIVT3<XBSP>","Telef Brasil","ON","VIVT3","Telecomunicações"
"TIMS3<XBSP>","Tim","ON","TIMS3","Telecomunicações"
