ticker,Fundamental Rating
RRRP3,B
TTEN3,B
QVQP3,D
ABCB4,D
EALT4,A
AERI3,D
AESB3,C
AESO3,B
AFLT3,C
GRAO3,C
AGXY3,D
RPAD5,D
APTI4,B
FRRN3B,A
AALR3,B
ALLD3,B
ALOS3,B
ALPA4,A
APER3,B
AVLL3,A
ALUP11,C
BAZA3,C
ABEV3,B
AMBP3,C
AMER3,D
CBEE3,C
ANIM3,A
ARZZ3,B
ARML3,A
ASAI3,C
ATMP3,C
ATOM3,A
AURA33,B
AURE3,D
AZEV4,D
AZUL4,C
B3SA3,B
BAHI3,A
BMGB4,B
BPAN4,C
BGIP4,C
BEES3,C
BPAR3,B
BRSR6,B
BDLL4,D
BALM4,A
BBML3,C
BBSE3,D
BMOB3,B
BETP3,D
BMKS3,C
BIOM3,D
BLAU3,B
SOJA3,B
BOBR4,B
BRBI11,B
BBDC4,C
BRAP4,D
BBAS3,D
AGRO3,C
BRKM5,D
BSLI3,B
BRFS3,B
BRIT3,A
BRQB3,B
BPAC11,B
CABI3,D
CXSE3,D
CAMB3,B
CAML3,B
CRFB3,B
CASN3,A
BHIA3,B
CBAV3,D
CCRO3,A
CEAB3,A
CEBR3,B
CEDO4,A
CEED3,C
CGEE3,C
CEGR3,A
CLSC4,C
GPAR3,D
MAPT4,D
CMIG4,B
CIEL3,B
CMSA3,D
CLSA3,B
CEEB3,A
COCE5,B
COGN3,B
COMR3,C
CGAS5,B
PASS3,C
CRTE3,D
CALI3,C
CSMG3,A
CPLE6,C
CSAN3,B
CSRN3,B
CTNM4,D
CPFE3,B
CRPG5,D
CSED3,A
CMIN3,A
CSUD3,C
CTCA3,A
CURY3,A
CVCB3,B
CYRE3,A
DMVF3,A
DASA3,B
DESK3,A
DXCO3,B
DEXP3,B
PNVL3,A
DIRR3,B
DMFN3,B
DOHL4,B
DOTZ3,B
DTCY3,D
ECOR3,A
EKTR4,A
ELET3,B
ELMD3,A
LIPR3,D
EMAE4,B
EPAR3,C
EMBR3,C
ENAT3,C
ENBR3,A
ENGI11,A
ENMT3,A
ENEV3,C
EGIE3,A
ENJU3,B
EQMA3B,B
EQPA3,A
EQTL3,A
ESPA3,B
ALPK3,B
ESTR4,A
ETER3,B
EUCA4,A
EUFA3,B
EVEN3,C
BAUH4,B
EZTC3,B
FHER3,D
FESA4,D
FIEI3,C
FLRY3,A
FRAS3,A
G2DI33,C
GFSA3,C
OPGM3,D
GSHP3,B
GEPA4,B
GGBR4,C
GOAU4,C
NINJ3,A
GOLL4,A
GPIV33,B
GGPS3,B
EGGY3,C
CGRA4,A
GRND3,A
GMAT3,B
NTCO3,B
SBFG3,A
SOMA3,B
GUAR3,A
HBTS5,A
HAGA4,B
HAPV3,C
HBRE3,B
HBOR3,B
HETA4,B
HBSA3,C
HMOB3,C
HOOT4,B
HYPE3,B
IGSN3,C
IGTI11,B
MEAL3,B
INNC3,B
CATA3,B
INEP3,C
IFCM3,B
INTB3,B
IVPR3B,C
FIGE3,B
MYPK3,C
RANI3,B
IRBR3,C
ITSA4,B
ITUB4,C
JALL3,D
JBSS3,B
JHSF3,B
JFEN3,D
JOPA3,B
JSLG3,C
KLAS3,B
CTKA4,A
KEPL3,B
KLBN11,C
KRSA3,D
LAVV3,A
LLBI3,A
LMED3,A
LIGT3,C
LTEL3B,D
LTLA3B,D
RENT3,B
LOGG3,B
LOGN3,D
AMAR3,B
LREN3,A
LPSB3,B
LUPA3,D
LWSA3,A
MDIA3,A
MSRO3,B
MGLU3,A
MGEL4,C
POMO4,B
MRFG3,C
MATD3,A
MSPA4,C
CASH3,C
MELK3,C
MNZC3,C
MERC4,B
BMIN4,B
BMEB4,B
LEVE3,A
FRIO3,B
MTSA4,C
MILS3,A
MMAQ4,B
BEEF3,B
MNPR3,C
MTRE3,C
MBLY3,B
MOAR3,C
MDNE3,B
MOVI3,B
MRSA3B,A
MRVE3,D
MLAS3,D
MULT3,A
MNDL3,B
NEOE3,C
NGRD3,B
NEXP3,A
BNBR3,C
NORD3,B
NRTQ3,C
ROXO34,C
NUTR3,B
OPCT3,B
ODER4,B
ODPV3,A
OIBR3,D
ONCO3,B
ORVR3,A
OSXB3,C
OFSA3,A
PCAR3,A
PDTC3,B
PGMN3,B
PATI3,C
PEAB4,B
PMAM3,D
PDGR3,B
RPMG3,D
PETR4,B
RECV3,B
PRIO3,A
PTNT4,C
PETZ3,A
